com,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_94,age_95_99,age_100_plus
a7,1710.2872941,2029.708074,2122.3577585,2016.7069983,2108.9654257,2172.4858005,2218.5191139,2219.1890893,2191.4006064,2311.285477,3057.0825704,3329.4342732,3223.042476,2888.9182214,2739.5327156,2048.8333109,1361.4641327,804.1398326,369.3412296,88.5473913,16.0000001
central_fife,3904.9305799,4553.1596608,5163.444172,4329.9932139,3987.1069866,4526.4016342,5007.2248495,5080.9383057000005,4943.6082377,4976.6445393,6215.5219688,6432.8010664,5939.9462458,5121.9695437,4682.3131887,3656.7372065,2173.4858354,1359.652915,531.9817106,134.216952,18.9391437
dundee,968.1695564,1214.3814977,1415.0028449,1257.3747131,931.5935884,1073.3398995,1296.6944244000001,1331.9573182,1248.5068752,1145.7314511,1479.8196403,1519.2020128,1354.7207329,1118.2584125,962.8089554000001,766.2618257,510.8921178,275.4552635,114.040042,20.7664122,2
west_highlands,141.6480914,155.1709892,152.6568727,147.7749066,156.4316369,134.3166533,172.3206781,192.8562633,201.5090003,206.5479969,315.2651855,331.8923886,311.7700279,270.676941,230.29253310000001,189.14191,110.4037082,82.3961233,33.7623116,11.9956246,0
